"season","team","conference","off_plays","off_drives","off_ppa","off_total_ppa","off_success_rate","off_explosiveness","off_power_success","off_stuff_rate","off_line_yds","off_line_yds_total","off_second_lvl_yds","off_second_lvl_yds_total","off_open_field_yds","off_open_field_yds_total","off_total_opportunities","off_pts_per_opp","off_field_pos_avg_start","off_field_pos_avg_predicted_points","off_havoc_total","off_havoc_front_seven","off_havoc_db","off_standard_downs_rate","off_standard_downs_ppa","off_standard_downs_success_rate","off_standard_downs_explosiveness","off_passing_downs_rate","off_passing_downs_ppa","off_passing_downs_success_rate","off_passing_downs_explosiveness","off_rushing_plays_rate","off_rushing_plays_ppa","off_rushing_plays_total_ppa","off_rushing_plays_success_rate","off_rushing_plays_explosiveness","off_passing_plays_rate","off_passing_plays_ppa","off_passing_plays_total_ppa","off_passing_plays_success_rate","off_passing_plays_explosiveness","def_plays","def_drives","def_ppa","def_total_ppa","def_success_rate","def_explosiveness","def_power_success","def_stuff_rate","def_line_yds","def_line_yds_total","def_second_lvl_yds","def_second_lvl_yds_total","def_open_field_yds","def_open_field_yds_total","def_total_opportunities","def_pts_per_opp","def_field_pos_avg_start","def_field_pos_avg_predicted_points","def_havoc_total","def_havoc_front_seven","def_havoc_db","def_standard_downs_rate","def_standard_downs_ppa","def_standard_downs_success_rate","def_standard_downs_explosiveness","def_passing_downs_rate","def_passing_downs_ppa","def_passing_downs_total_ppa","def_passing_downs_success_rate","def_passing_downs_explosiveness","def_rushing_plays_rate","def_rushing_plays_ppa","def_rushing_plays_total_ppa","def_rushing_plays_success_rate","def_rushing_plays_explosiveness","def_passing_plays_rate","def_passing_plays_ppa","def_passing_plays_total_ppa","def_passing_plays_success_rate","def_passing_plays_explosiveness"
2019,"Air Force","Mountain West",883,132,0.318318767442628,281.075471651841,0.53114382785957,1.04475534451941,0.87378640776699,0.125506072874494,3.41875843454791,2533,1.11336032388664,825,0.92442645074224,685,80,4.2125,70.3,1.368,0.126840317100793,0.103057757644394,0.0237825594563986,0.783691959229898,0.291305095225569,0.579479768786127,0.879547806323309,0.216308040770102,0.416190291914905,0.356020942408377,2.0189939153523,0.839184597961495,0.251871117012653,186.636497706376,0.535762483130904,0.854442649257243,0.146092865232163,0.73116407634713,94.3201658487797,0.457364341085271,2.55352062250496,754,128,0.124542308582414,93.9049006711398,0.407161803713528,1.21471091896326,0.720930232558139,0.154285714285714,2.86971428571429,1004,0.837142857142857,293,0.677142857142857,237,64,3.375,71,-1.297,0.209549071618037,0.127320954907162,0.0822281167108753,0.661803713527852,0.109956489403958,0.478957915831663,1.0144026470515,0.338196286472149,0.15308475473947,87.4299844772622,0.266666666666667,1.91873558053548,0.464190981432361,0.0202234029873595,7.07819104557583,0.374285714285714,0.855776965441539,0.525198938992042,0.220782789083995,87.4299844772622,0.424242424242424,1.55602824107486
2019,"Akron","Mid-American",725,149,-0.0617048868517145,-44.736042967493,0.310344827586207,1.28202253537519,0.636363636363636,0.262172284644195,2.30187265917603,615,0.921348314606742,246,0.367041198501873,98,53,1.58490566037736,72.1,1.239,0.296551724137931,0.217931034482759,0.0786206896551724,0.586206896551724,-0.120246470900927,0.378823529411765,1.07866295428445,0.413793103448276,0.0212290238846696,0.213333333333333,1.79359898155657,0.368275862068966,-0.138950654870321,-37.0998248503757,0.314606741573034,0.879641604060977,0.622068965517241,-0.0202210940776227,-9.11971342900783,0.297117516629712,1.59016179407764,873,148,0.217464907023837,189.846863831809,0.479954180985109,1.07583963202872,0.674157303370786,0.166969147005445,3.0562613430127,1684,1.00181488203267,552,0.996370235934664,549,91,3.65934065934066,66,-1.714,0.140893470790378,0.0882016036655212,0.0526918671248568,0.728522336769759,0.181986281869665,0.522012578616352,0.931150273774808,0.271477663230241,0.312673369462878,97.0349263074369,0.367088607594937,1.62798752789425,0.631156930126002,0.169377362385653,93.326926674495,0.451905626134301,0.950519839434448,0.353951890034364,0.314028887726333,97.0349263074369,0.508090614886731,1.36695767484701
2019,"Alabama","SEC",849,150,0.414002869890705,351.488436537209,0.527679623085983,1.35480617605449,0.789473684210526,0.190930787589499,3.23412887828162,1355,1.22195704057279,512,1.3054892601432,547,93,4.67741935483871,67.3,1.62,0.151943462897526,0.109540636042403,0.0424028268551237,0.730270906949352,0.346850486906212,0.556451612903226,1.19927101161499,0.269729093050648,0.595812815088896,0.449781659388646,1.8757734744198,0.493521790341578,0.232413099494165,97.381088688055,0.532219570405728,0.910220659139687,0.492343934040047,0.617692880660254,258.195624115986,0.509569377990431,1.91578514624926,883,159,0.013083176339999,11.5524447082191,0.39524348810872,1.14585428743923,0.711538461538462,0.159722222222222,2.83449074074074,1225,1.02777777777778,444,0.960648148148148,415,76,2.60526315789474,72.2,-1.211,0.234428086070215,0.135900339750849,0.0985277463193658,0.665911664779162,0.0172301151871824,0.452380952380952,1.00041717117294,0.334088335220838,0.00481741348527403,10.2769740091167,0.28135593220339,1.61195396125651,0.489241223103058,0.0459783378059198,19.8626419321573,0.412037037037037,0.906816061616483,0.489241223103058,0.0237892916877701,10.2769740091167,0.358796296296296,1.52811223160572
2019,"App State","Sun Belt",973,175,0.273061155229651,265.688504038451,0.437821171634121,1.34744892664794,0.807017543859649,0.17157712305026,3.00918544194107,1736,1.18197573656846,682,1.93760831889081,1118,89,4.66292134831461,68.8,1.505,0.168550873586845,0.102774922918808,0.065775950668037,0.676258992805755,0.161429043198288,0.477203647416413,1.05267313731832,0.323741007194245,0.506248233695166,0.355555555555556,2.17387390744704,0.593011305241521,0.205213073800589,118.40794358294,0.424610051993068,1.13603784150455,0.39568345323741,0.371682759622288,143.097862454581,0.441558441558442,1.71471337401457,951,183,0.0915683481510546,87.0814990916529,0.365930599369085,1.39871046972269,0.696428571428571,0.205816554809843,2.44787472035794,1094,0.966442953020134,432,1.42953020134228,639,73,3.31506849315068,73.6,-1.131,0.203995793901157,0.1198738170347,0.0841219768664564,0.629863301787592,-0.0112642278612676,0.402337228714524,1.11857669709621,0.370136698212408,0.266559010172023,59.0016198666648,0.303977272727273,2.02966597629261,0.470031545741325,0.0543617168141979,24.2996874159465,0.355704697986577,1.1374733578259,0.516298633017876,0.120166231907668,59.0016198666648,0.358452138492872,1.71654993045532
2019,"Arizona","Big 12",875,149,0.226293396657231,198.006722075077,0.437714285714286,1.29245366318776,0.773584905660377,0.162679425837321,3.09952153110048,1296,1.16028708133971,485,1.57177033492823,657,69,3.63768115942029,74.6,1.081,0.176,0.104,0.072,0.661714285714286,0.15193062433626,0.495682210708117,1.02351152694824,0.338285714285714,0.371753008731022,0.324324324324324,2.09647859132051,0.477714285714286,0.216582999864282,90.53169394327,0.4688995215311,1.01127132951461,0.512,0.240097472355196,107.563667615128,0.397321428571429,1.66791692078298,902,151,0.255402952924799,230.373463538169,0.498891352549889,1.14459169292889,0.611111111111111,0.17351598173516,3.30684931506849,1448,1.22602739726027,537,1.25114155251142,548,93,4.16129032258065,68.1,-1.544,0.167405764966741,0.0953436807095344,0.0720620842572062,0.717294900221729,0.168652297000851,0.545595054095827,0.939881991526523,0.282705099778271,0.475511479916149,155.990427305236,0.380392156862745,1.88956617329007,0.485587583148559,0.198843520406003,87.0934619378294,0.525114155251142,0.886840532714737,0.494456762749446,0.349754321312188,155.990427305236,0.455156950672646,1.58638788965587
2019,"Arizona State","Big 12",863,160,0.150396274024718,129.791984483332,0.41946697566628,1.21861286262105,0.633333333333333,0.211267605633803,2.75680751173709,1174,1.02582159624413,437,0.744131455399061,317,85,3.03529411764706,68.5,1.525,0.178447276940904,0.130938586326767,0.0475086906141367,0.66396292004635,0.0358811097071056,0.452006980802792,0.957777557967471,0.33603707995365,0.376662443521243,0.355172413793103,1.87449969665285,0.493626882966396,0.0431005023646376,18.3608140073356,0.403755868544601,0.854734416426768,0.480880648899189,0.286560407361914,118.922569055194,0.404819277108434,1.7953269953727,928,159,0.174605345142069,162.03376029184,0.426724137931034,1.17049081420796,0.724137931034483,0.172727272727273,2.74204545454545,1207,0.934090909090909,411,0.665909090909091,293,73,3.6986301369863,74.5,-1.098,0.216594827586207,0.140086206896552,0.0765086206896552,0.693965517241379,0.111851522414645,0.493788819875776,0.97879011600994,0.306034482758621,0.316906267101437,136.158295003439,0.274647887323944,1.95203981455372,0.474137931034483,0.0599399089101752,26.3735599204771,0.434090909090909,0.830111102282189,0.519396551724138,0.282486089218753,136.158295003439,0.412863070539419,1.53498108805291
2019,"Arkansas","SEC",793,151,0.0643894159865037,51.0608068772975,0.382093316519546,1.30244335869967,0.673469387755102,0.186968838526912,3.02917847025496,1069,1.12181303116147,396,1.58923512747875,561,66,2.65151515151515,70.8,1.324,0.255989911727617,0.112232030264817,0.143757881462799,0.646910466582598,-0.0465534273694527,0.421052631578947,1.00433548421282,0.353089533417402,0.267652553992238,0.310714285714286,2.04257325397738,0.445145018915511,0.112585411789252,39.7426503616061,0.407932011331445,1.04128138416378,0.537200504413619,0.0243564998049162,10.3758689168943,0.34037558685446,1.68105883288013,834,146,0.313307285863499,261.298276410158,0.470023980815348,1.30435315795252,0.672727272727273,0.216450216450216,3.02229437229437,1396,1.19047619047619,550,2.24891774891775,1039,84,4.28571428571429,69.9,-1.4,0.185851318944844,0.112709832134293,0.0731414868105516,0.68705035971223,0.229735449509671,0.504363001745201,1.08146511419708,0.31294964028777,0.496781087513856,152.928402302558,0.39463601532567,1.92973805742168,0.553956834532374,0.228892612255845,105.748386862201,0.445887445887446,1.12725711646088,0.429256594724221,0.427174308107704,152.928402302558,0.480446927374302,1.60738363186656
2019,"Arkansas State","Sun Belt",937,173,0.214493131369986,200.980064093677,0.421558164354322,1.37211012858925,0.695652173913043,0.208232445520581,2.91622276029056,1204,1.09200968523002,451,0.927360774818402,383,88,4.06818181818182,70,1.418,0.218783351120598,0.129135538954109,0.0896478121664888,0.63820704375667,0.0804425515011285,0.461538461538462,1.09962885568788,0.36179295624333,0.450959935976408,0.351032448377581,2.00408350103275,0.44076840981857,0.0822475838312196,33.9682521222937,0.394673123486683,0.993586186572961,0.537886872998933,0.33712264421107,169.909812682379,0.422619047619048,1.78941137222428,1031,179,0.187478432412066,193.29026381684,0.441319107662464,1.23373410453286,0.727272727272727,0.165413533834586,2.95244360902256,1571,1.1390977443609,606,1.81766917293233,967,98,4.05102040816327,70.9,-1.352,0.168768186226964,0.104752667313288,0.064015518913676,0.69447138700291,0.116710363560871,0.486033519553073,1.03689210979518,0.30552861299709,0.348335376213513,102.560783270662,0.33968253968254,1.87393049863298,0.516003879728419,0.189690499880308,100.915345936324,0.43609022556391,1.1154850412204,0.464597478176528,0.214114370084888,102.560783270662,0.427974947807933,1.50745241050561
2019,"Army","American Athletic",868,130,0.262509024621982,227.85783337188,0.496543778801843,1.06895665528348,0.842592592592593,0.100828729281768,3.42182320441989,2477,1.07872928176796,781,1.26657458563536,917,76,4.21052631578947,71.7,1.278,0.118663594470046,0.0921658986175115,0.0264976958525346,0.753456221198157,0.274959036870728,0.558103975535168,0.949475640636172,0.246543778801843,0.224460856347775,0.308411214953271,1.72972287265114,0.834101382488479,0.308239597953353,223.165468918228,0.524861878453039,0.976622327962959,0.158986175115207,0.0424230278236179,5.85437783965927,0.340579710144928,1.88801196332021,792,135,0.200372162514436,158.694752711433,0.431818181818182,1.21484419606007,0.714285714285714,0.166666666666667,3.1134703196347,1364,1.0958904109589,480,1.26027397260274,552,69,3.57971014492754,69.4,-1.452,0.154040404040404,0.112373737373737,0.0416666666666667,0.69949494949495,0.138372207359388,0.490974729241877,0.984317283522631,0.30050505050505,0.34469138585854,96.1437115493194,0.294117647058824,2.11060591334839,0.553030303030303,0.151624913198405,66.4117119809013,0.436073059360731,0.970666557369078,0.433080808080808,0.280302366033001,96.1437115493194,0.408163265306122,1.67100052438455
2019,"Auburn","SEC",950,173,0.208063708980427,197.660523531406,0.453684210526316,1.16274218929531,0.763888888888889,0.150763358778626,3.11030534351145,1630,1.13931297709924,597,1.31679389312977,690,90,4.26666666666667,68.8,1.502,0.157894736842105,0.118947368421053,0.0389473684210526,0.697894736842105,0.138414642556881,0.494720965309201,0.955497796682107,0.302105263157895,0.368960332809036,0.358885017421603,1.82270491528686,0.551578947368421,0.156709944457589,82.1160108957768,0.465648854961832,0.946663783797571,0.430526315789474,0.291463619427479,119.208620345839,0.415647921760391,1.61070604735224,898,171,0.0568764349027374,51.0750385426582,0.368596881959911,1.2200065466775,0.660714285714286,0.233734939759036,2.60578313253012,1081,1.00722891566265,418,0.985542168674699,409,73,2.46575342465753,71.8,-1.268,0.236080178173719,0.149220489977728,0.0868596881959911,0.650334075723831,-0.062976136101727,0.410958904109589,0.959934924282048,0.349665924276169,0.279786949127601,57.6983606780824,0.289808917197452,1.90590972662156,0.462138084632517,-0.00569393324437691,-2.36298229641642,0.366265060240964,0.950809956022459,0.526726057906459,0.121983849213705,57.6983606780824,0.357293868921776,1.55952303830679
