"season","team","conference","games","time_of_poss_total","pass_comps","pass_atts","net_pass_yds","pass_TDs","interceptions","rush_atts","rush_yds","rush_TDs","total_yds","fumbles_lost","turnovers","first_downs","third_downs","third_down_convs","fourth_down_convs","fourth_downs","penalties","penalty_yds","kick_returns","kick_return_yds","kick_return_TDs","punt_returns","punt_return_yds","punt_return_TDs","passes_intercepted","passes_intercepted_yds","passes_intercepted_TDs"
2019,"San José State","Mountain West",12,19030,305,497,4056,24,7,308,1073,19,5129,5,12,257,159,65,7,16,73,603,27,492,0,10,63,0,16,116,0
2019,"Duke","ACC",12,20898,213,378,2152,18,14,495,1804,16,3956,15,29,224,195,64,20,33,63,544,37,923,2,22,231,1,9,88,0
2019,"UCLA","Pac-12",12,21861,260,426,3066,22,12,490,1802,18,4868,10,22,269,185,77,13,29,81,663,29,416,1,8,180,1,5,76,0
2019,"South Alabama","Sun Belt",12,20556,149,282,1906,14,11,509,2058,15,3964,11,22,216,169,51,12,26,69,541,40,712,0,12,41,0,9,37,0
2019,"Marshall","Conference USA",13,24112,200,355,2605,16,11,532,2504,21,5109,7,18,271,181,69,6,14,75,680,37,578,0,21,248,2,10,166,1
2019,"Virginia","ACC",14,27768,337,520,3748,23,15,442,1697,28,5445,6,21,296,203,92,9,16,66,612,42,1204,2,27,158,0,12,279,2
2019,"Oklahoma State","Big 12",13,22497,232,362,2916,23,12,562,3019,27,5935,8,20,287,186,73,11,21,67,612,34,540,0,20,164,0,12,121,2
2019,"North Carolina","ACC",13,23655,265,431,3716,39,7,528,2446,13,6162,5,12,315,191,79,15,23,80,701,24,518,0,13,81,0,14,58,1
2019,"Georgia Tech","ACC",12,19230,124,269,1607,14,10,448,1829,12,3436,10,20,181,164,49,8,17,57,493,36,715,0,16,76,0,7,65,0
2019,"Florida State","ACC",13,20480,279,432,3479,24,13,477,1829,24,5308,8,21,265,192,68,11,19,119,953,21,483,0,21,132,0,8,94,1
2019,"Rutgers","Big Ten",12,21627,154,278,1672,7,15,457,1605,11,3277,8,23,160,178,61,6,14,76,709,39,727,0,13,35,0,6,8,0
2019,"Kansas State","Big 12",13,26090,180,302,2344,12,5,538,2314,29,4658,8,13,254,174,75,9,15,77,679,34,1003,4,16,163,1,11,128,0
2019,"Charlotte","Conference USA",13,24958,195,321,2749,24,14,527,2605,26,5354,5,19,270,157,64,13,23,68,594,30,380,0,19,127,1,9,101,1
2019,"Eastern Michigan","Mid-American",13,22260,313,465,3681,26,12,418,1590,21,5271,5,17,285,169,67,12,25,59,531,23,254,0,16,180,1,11,137,0
2019,"Miami (OH)","Mid-American",14,23736,183,337,2495,11,10,533,1833,22,4328,8,18,216,201,67,6,17,80,683,41,881,0,23,313,1,11,219,3
2019,"Bowling Green","Mid-American",12,21114,189,336,1888,9,15,502,1941,15,3829,6,21,204,184,61,7,32,84,710,43,799,0,18,94,0,7,77,0
2019,"West Virginia","Big 12",12,20418,289,454,2984,21,15,334,879,7,3863,5,20,212,179,62,10,19,71,586,35,656,1,12,55,0,8,102,1
2019,"Rice","Conference USA",12,22472,180,320,1992,13,4,433,1538,14,3530,12,16,204,175,66,8,18,45,345,28,530,0,15,138,0,6,7,0
2019,"New Mexico","Mountain West",12,21459,163,331,2340,13,15,501,2463,20,4803,11,26,245,169,62,6,16,81,729,29,627,0,24,147,0,4,71,1
2019,"Nebraska","Big Ten",12,20813,194,323,2551,12,9,544,2439,27,4990,11,20,250,187,77,10,23,61,518,25,420,0,17,128,1,11,177,2
2019,"Wyoming","Mountain West",13,23865,120,256,1770,11,9,575,2792,27,4562,6,15,230,188,81,6,12,67,634,11,305,0,34,366,0,12,199,2
2019,"Ohio","Mid-American",13,24780,203,335,2866,21,6,526,2883,36,5749,13,19,296,168,83,5,9,70,627,35,803,0,30,154,0,5,23,0
2019,"Oregon State","Pac-12",12,20499,260,420,3061,30,4,411,1881,21,4942,2,6,267,163,69,13,24,78,702,40,713,0,13,72,0,8,55,1
2019,"NC State","ACC",12,21154,244,463,2749,14,10,418,1814,14,4563,11,21,259,182,64,14,29,71,627,23,412,0,15,203,1,4,27,0
2019,"Utah","Pac-12",14,28820,233,321,3187,20,4,591,2819,34,6006,9,13,300,176,81,11,26,103,870,11,176,0,26,249,1,14,273,4
2019,"Memphis","American Athletic",14,25713,281,441,4177,33,11,551,2614,32,6791,9,20,325,194,89,14,24,103,839,46,1206,3,26,187,1,11,53,1
2019,"Western Michigan","Mid-American",13,23655,246,413,3128,21,8,503,2666,35,5794,6,14,288,190,86,16,28,82,759,36,882,0,15,51,0,13,220,2
2019,"Iowa","Big Ten",13,24981,243,411,2976,16,7,453,1789,17,4765,5,12,248,190,78,15,21,56,421,23,531,2,15,121,0,12,73,1
2019,"Pittsburgh","ACC",13,23926,316,513,3402,17,10,441,1544,11,4946,12,22,268,211,84,8,17,102,888,18,287,0,36,199,1,9,132,1
2019,"Coastal Carolina","Sun Belt",12,24056,217,334,2379,21,9,520,2346,24,4725,8,17,267,172,70,23,29,67,586,20,267,0,14,183,1,11,127,0
2019,"East Carolina","American Athletic",12,21288,270,451,3466,22,10,449,1696,12,5162,7,17,288,178,70,3,7,71,615,42,653,1,17,79,1,11,108,0
2019,"Kansas","Big 12",12,19240,235,389,2775,25,14,383,1730,10,4505,6,20,221,167,66,7,20,66,601,45,873,0,9,46,0,6,69,1
2019,"Northwestern","Big Ten",12,21573,155,311,1414,6,15,530,2160,17,3574,8,23,211,193,69,11,28,65,582,23,374,0,21,174,0,7,47,0
2019,"Southern Miss","Conference USA",13,24465,291,438,3764,20,17,434,1527,17,5291,9,26,246,176,68,8,17,81,716,37,779,3,17,156,1,10,159,1
2019,"Florida International","Conference USA",13,22739,223,389,2754,14,6,487,2154,23,4908,8,14,259,184,70,13,24,79,751,35,496,0,13,205,2,12,150,1
2019,"Buffalo","Mid-American",13,26548,150,278,1795,14,6,659,3256,36,5051,8,14,276,194,87,16,25,64,580,12,181,0,14,94,0,11,152,2
2019,"Kent State","Mid-American",13,20484,238,355,2846,24,2,550,2427,17,5273,10,12,283,196,86,8,12,81,781,52,1083,1,14,119,0,7,22,0
2019,"Cincinnati","American Athletic",14,26673,208,377,2552,19,11,616,2937,30,5489,9,20,291,213,92,11,17,122,977,27,590,0,31,250,0,16,300,3
2019,"Arizona","Pac-12",12,19733,261,422,3193,23,12,451,2088,19,5281,6,18,269,186,82,13,20,76,677,37,716,0,14,89,0,11,129,0
2019,"Missouri","SEC",12,21529,226,376,2671,17,8,476,1820,14,4491,6,14,243,181,66,7,13,83,809,9,161,0,21,223,1,8,266,4
2019,"Colorado State","Mountain West",12,21712,279,445,3660,21,11,395,1586,18,5246,13,24,257,169,67,11,21,80,782,34,591,1,21,142,0,6,105,1
